DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.55
Next Day Air Package,All,0.55
Next Day Air Saver Letter,All,0.55
Next Day Air Saver Package,All,0.55
2nd Day AM Letter,All,0.506
2nd Day AM Package,All,0.506
2nd Day Air Letter,All,0.506
2nd Day Air Package,All,0.506
3 Day Select Package,All,0.428
Next Day Air CWT,All,0
Next Day Air Saver CWT,All,0
2nd Day Air AM CWT,All,0
2nd Day Air CWT,All,0
3 Day Select CWT,All,0
Ground CWT,Discount,0
Ground Freight Pricing,All,0.2896
Ground Commercial,1-5 lbs,0.3196
Ground Commercial,6-10 lbs,0.3496
Ground Commercial,11-20 lbs,0.3746
Ground Commercial,21-30 lbs,0.3996
Ground Commercial,31-50 lbs,0.3996
Ground Commercial,51-70 lbs,0.3996
Ground Commercial,71-150 lbs,0.3996
Ground Commercial,151 lbs+,0.3996
Ground Residential,1-5 lbs,0.25
Ground Residential,6-10 lbs,0.28
Ground Residential,11-20 lbs,0.3
Ground Residential,21-30 lbs,0.32
Ground Residential,31-50 lbs,0.35
Ground Residential,51-70 lbs,0.35
Ground Residential,71-150 lbs,0.35
Ground Residential,151 lbs+,0.35
SurePost,1 - 16 OZ,0.35
SurePost,1 - 9 LBS,0.35
SurePost,10+ LBS,0.1
Export WW Express Letter,All,0.55
Export WW Express Doc,All,0.55
Export WW Express Pak,All,0.55
Export WW Express Package,All,0.55
Export WW Saver Letter,All,0.55
Export WW Saver Doc,All,0.55
Export WW Saver Pak,All,0.55
Export WW Saver Package,All,0.55
Export WW Expedited Doc,All,0.55
Export WW Expedited Package,All,0.55
Import WW Express Letter,All,0.34
Import WW Express Doc,All,0.34
Import WW Express Package,All,0.34
Import WW Saver Letter,All,0.34
Import WW Saver Doc,All,0.34
Import WW Saver Package,All,0.34
Import WW Expedited Package,All,0.34
Export Standard to Canada,All,0.18
Export Standard to Mexico,All,0.18
Import Standard from Canada,All,0.18
Import Standard from Mexico,All,0.18
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0
DAS Ext Comm,Ground,0
DAS Resi,Ground,0
DAS Ext Resi,Ground,0
Residential Fee,Air,0
