DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.65
Next Day Air Package,All,0.65
Next Day Air Saver Letter,All,0.65
Next Day Air Saver Package,All,0.65
2nd Day AM Letter,All,0.57
2nd Day AM Package,All,0.57
2nd Day Air Letter,All,0.57
2nd Day Air Package,All,0.57
3 Day Select Package,All,0.5
Next Day Air CWT,All,0
Next Day Air Saver CWT,All,0
2nd Day Air AM CWT,All,0
2nd Day Air CWT,All,0
3 Day Select CWT,All,0
Ground CWT,Discount,0.2
Ground Freight Pricing,All,0.85
Ground Commercial,1-5 lbs,0.4
Ground Commercial,6-10 lbs,0.42
Ground Commercial,11-20 lbs,0.48
Ground Commercial,21-30 lbs,0.5
Ground Commercial,31-50 lbs,0.52
Ground Commercial,51-70 lbs,0.52
Ground Commercial,71-150 lbs,0.52
Ground Commercial,151 lbs+,0.52
Ground Residential,1-5 lbs,0.28
Ground Residential,6-10 lbs,0.305
Ground Residential,11-20 lbs,0.33
Ground Residential,21-30 lbs,0.37
Ground Residential,31-50 lbs,0.41
Ground Residential,51-70 lbs,0.41
Ground Residential,71-150 lbs,0.41
Ground Residential,151 lbs+,0.41
SurePost,1 - 16 OZ,0.3
SurePost,1 - 9 LBS,0.3
SurePost,10+ LBS,0.1
Export WW Express Letter,All,0.65
Export WW Express Doc,All,0.65
Export WW Express Pak,All,0.65
Export WW Express Package,All,0.65
Export WW Saver Letter,All,0.65
Export WW Saver Doc,All,0.65
Export WW Saver Pak,All,0.65
Export WW Saver Package,All,0.65
Export WW Expedited Doc,All,0.65
Export WW Expedited Package,All,0.65
Import WW Express Letter,All,0.5
Import WW Express Doc,All,0.5
Import WW Express Package,All,0.5
Import WW Saver Letter,All,0.5
Import WW Saver Doc,All,0.5
Import WW Saver Package,All,0.5
Import WW Expedited Package,All,0.5
Export Standard to Canada,All,0.2
Import Standard from Canada,All,0.2
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,Ground,0.5
DAS Ext Resi,Ground,0.5
Residential Fee,Air,0
Residential Fee,Ground,0.5
