DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.751
Priority Overnight Package,All,0.751
Standard Overnight Letter,All,0.751
Standard Overnight Package,All,0.751
2 Day AM Letter,All,0.5
2 Day AM Package,All,0.5
2 Day Air Letter,All,0.651
2 Day Air Package,All,0.651
Express Saver Package,All,0.651
Ground MWT,Discount,0
Ground Single Piece,1-5 lbs,0.43
Ground Single Piece,6-10 lbs,0.46
Ground Single Piece,11-20 lbs,0.46
Ground Single Piece,21-30 lbs,0.46
Ground Single Piece,31-50 lbs,0.46
Ground Single Piece,51-70 lbs,0.46
Ground Single Piece,71-150 lbs,0.46
Ground Single Piece,151 lbs+,0.46
Home Delivery,1-5 lbs,0.286
Home Delivery,6-10 lbs,0.286
Home Delivery,11-20 lbs,0.306
Home Delivery,21-30 lbs,0.306
Home Delivery,31-50 lbs,0.326
Home Delivery,51-70 lbs,0.326
Home Delivery,71-150 lbs,0.326
Home Delivery,151 lbs+,0.326
SmartPost,1 - 16 OZ,0.2
SmartPost,1 - 9 LBS,0.3
SmartPost,10+ LBS,0.3
Export Intl Priority Letter,All,0.824
Export Intl Priority Doc,All,0.824
Export Intl Priority Pak,All,0.824
Export Intl Priority Package,All,0.824
Export Intl Economy Doc,All,0.824
Export Intl Economy Package,All,0.824
Import Intl Priority Letter,All,0
Import Intl Priority Doc,All,0
Import Intl Priority Package,All,0
Import Intl Economy Doc,All,0
Import Intl Economy Package,All,0
Export Intl Ground,All,0
Import Intl Ground,All,0
DAS Comm,Air,0.4
DAS Ext Comm,Air,0.4
DAS Resi,Air,0.4
DAS Ext Resi,Air,0.4
DAS Comm,Ground,0.4
DAS Ext Comm,Ground,0.4
DAS Resi,HD,0.4
DAS Ext Resi,HD,0.4
DAS SmartPost,SmartPost,0.3
DAS Ext SmartPost,SmartPost,0.3
Residential Fee,Air,0.25
Residential Fee,HD,0.25
