DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.62
Priority Overnight Package,All,0.62
Standard Overnight Letter,All,0.62
Standard Overnight Package,All,0.62
2 Day AM Letter,All,0.505
2 Day AM Package,All,0.505
2 Day Air Letter,All,0.57
2 Day Air Package,All,0.57
Express Saver Package,All,0.52
Ground MWT,Discount,0.12
Ground Single Piece,1-5 lbs,0.41
Ground Single Piece,6-10 lbs,0.42
Ground Single Piece,11-20 lbs,0.44
Ground Single Piece,21-30 lbs,0.45
Ground Single Piece,31-50 lbs,0.45
Ground Single Piece,51-70 lbs,0.45
Ground Single Piece,71-150 lbs,0.45
Ground Single Piece,151 lbs+,0.45
Home Delivery,1-5 lbs,0.41
Home Delivery,6-10 lbs,0.42
Home Delivery,11-20 lbs,0.44
Home Delivery,21-30 lbs,0.45
Home Delivery,31-50 lbs,0.45
Home Delivery,51-70 lbs,0.45
Home Delivery,71-150 lbs,0.45
Home Delivery,151 lbs+,0.45
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0.17
SmartPost,10+ LBS,0.12
Export Intl Priority Letter,All,0.64
Export Intl Priority Doc,All,0.64
Export Intl Priority Pak,All,0.64
Export Intl Priority Package,All,0.64
Export Intl Economy Doc,All,0.64
Export Intl Economy Package,All,0.64
Import Intl Priority Letter,All,0.45
Import Intl Priority Doc,All,0.45
Import Intl Priority Package,All,0.615
Import Intl Economy Doc,All,0.615
Import Intl Economy Package,All,0.615
Export Intl Ground,All,0.22
Import Intl Ground,All,0
DAS Comm,Air,0.25
DAS Ext Comm,Air,0.25
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0.25
DAS Ext Comm,Ground,0.25
DAS Resi,HD,0.25
DAS Ext Resi,HD,0.25
Residential Fee,Air,0
Residential Fee,HD,0.45
