DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.58
Priority Overnight Package,All,0.55
Standard Overnight Letter,All,0.58
Standard Overnight Package,All,0.55
2 Day AM Letter,All,0.5
2 Day AM Package,All,0.5
2 Day Air Letter,All,0.5
2 Day Air Package,All,0.5
Express Saver Package,All,0.5
Ground MWT,Discount,0.1
Ground Single Piece,1-5 lbs,0.41
Ground Single Piece,6-10 lbs,0.41
Ground Single Piece,11-20 lbs,0.45
Ground Single Piece,21-30 lbs,0.48
Ground Single Piece,31-50 lbs,0.5
Ground Single Piece,51-70 lbs,0.5
Ground Single Piece,71-150 lbs,0.5
Ground Single Piece,151 lbs+,0.5
Home Delivery,1-5 lbs,0.41
Home Delivery,6-10 lbs,0.41
Home Delivery,11-20 lbs,0.45
Home Delivery,21-30 lbs,0.48
Home Delivery,31-50 lbs,0.5
Home Delivery,51-70 lbs,0.5
Home Delivery,71-150 lbs,0.5
Home Delivery,151 lbs+,0.5
Ground Returns,1-5 lbs,0.37
Ground Returns,6-10 lbs,0.37
Ground Returns,11-20 lbs,0.41
Ground Returns,21-30 lbs,0.44
Ground Returns,31-50 lbs,0.46
Ground Returns,51-70 lbs,0.46
Ground Returns,71-150 lbs,0.46
Ground Returns,151 lbs+,0.46
SmartPost,1 - 16 OZ,0.4
SmartPost,1 - 9 LBS,0.4
SmartPost,10-29 LBS,0.35
SmartPost,30+ LBS,0.1
Export Intl Priority Letter,All,0
Export Intl Priority Doc,All,0
Export Intl Priority Pak,All,0
Export Intl Priority Package,All,0.78
Export Intl Economy Doc,All,0
Export Intl Economy Package,All,0.75
Import Intl Priority Letter,All,0
Import Intl Priority Doc,All,0
Import Intl Priority Package,All,0.8
Import Intl Economy Doc,All,0
Import Intl Economy Package,All,0
Export Intl Ground,All,0
Import Intl Ground,All,0
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0
DAS Ext Comm,Ground,0
DAS Resi,HD,0
DAS Ext Resi,HD,0
Residential Fee,Air,0
Residential Fee,HD,0
